"","M10","M12","M14","M15","M16","M17","M18","M19","M2","M20","M21","M23","M24","M25","M26","M27","M28","M29","M3","M30","M31","M33","M35","M36","M37","M38","M39","M4","M40","M41","M43","M44","M45","M46","M47","M48","M5","M6","M7","M8","M9","P10","P12","P14","P15","P16","P17","P18","P19","P2","P20","P21","P23","P24","P25","P26","P27","P28","P29","P3","P30","P31","P33","P35","P36","P37","P38","P39","P4","P40","P41","P43","P44","P45","P46","P47","P48","P5","P6","P7","P8","P9"
"9.95",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32562186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250118403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10.22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.333362696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.712250147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.686364595,0,0,0,0,0,1.720420528,0,0
"10.255",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.121763346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.675878178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.459437803,0,0,0,0,0,0,0,0,0.483890465,0,0,0,0,0,0,0,0,0
"10.32285714",0,0,0,0,0,0,0.830954421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.463604396,0,0,0.273364761,0,0,0,0,0,0,0,0,0,0,0.386297532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.336827052,0,0,0,0,0.522213878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.741091663,0,0,0
"10.471875",0,0,0,0,0,0,0,0,0,0,1.116406423,0.900585269,0,0,0.44716594,0,0,0,0,0,0,0,0,0,0,0.917156328,0,0,0,0,0,0,0,0,0,0,0.64410398,0.83714477,2.292143892,0,0,0,1.310280766,0,0,0,0,0,1.036687247,0,0,0,0.740352445,0,0,0,0,0,0,1.155317318,0,0,0,0,0.682491428,0,0.472827332,0,0.979210122,0,0,0,0,0,0,0,0,0.628689996,0,0,0,0.913513378
"10.59333333",0,0,0,0,0,0,0,0,0.599858036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.678558542,0,0,0,0,0,0.709721479
"10.692",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272145586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.313897152,0,0,0.925983733,0,0,0,0,0,0.514083419,0,0,0,0,0,0.633733027
"10.75428571",0,0,0,0,0,0,0,0,1.311821569,0,0,0.670743613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.862463698,0,0,0,0,0,0,0,0,0,0,0,0.392508892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.645667146,0,0.683707149,0,0,0,0,0,1.131024102
"11.04931818",0,0,0,0,0,0,0,0,1.540192299,0,0,0.553890088,0,0,0,0,0,0,1.915223833,0,0,0,0,0,0,0,0,0,0.190503556,0,0,0,0.315443332,0,0,0,0,0,0,0,0.69763731,0,0.865556605,0,0,0.231723304,0,0,0,0,0,0,0.240848477,0,0,0,0,0,0,1.198509942,0.454667372,0,0.298349482,0,0,0.463038771,0.706095056,0,1.25258386,0,0,0.35338787,0.98376327,0,0,0.947146861,0,0.996186861,0,1.658075386,2.372562522,1.605026462
"11.13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264473165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.437575554,0,0,0,0,0,0
