,M10,M12,M14,M15,M16,M17,M18,M19,M2,M20,M21,M23,M24,M25,M26,M27,M28,M29,M3,M30,M31,M33,M35,M36,M37,M38,M39,M4,M40,M41,M43,M44,M45,M46,M47,M48,M5,M6,M7,M8,M9,P10,P12,P14,P15,P16,P17,P18,P19,P2,P20,P21,P23,P24,P25,P26,P27,P28,P29,P3,P30,P31,P33,P35,P36,P37,P38,P39,P4,P40,P41,P43,P44,P45,P46,P47,P48,P5,P6,P7,P8,P9
12.72882353,0,0,0,0,0,0,0,0,1.252796782,0,0,0,0.294346292,0,0,0,0,0.10082711,0,0,0.565642483,0,0,0,0,0,0,0,0,0,0,0,0.20147046,0.105042499,0,0,0,0,0,0,0,0,1.350473265,0,0,0.382392262,0,0,0,0,0,0,0.415707523,0,0,0,0,0,0,0,0,1.408835527,0.503180513,0.594414183,0.594887566,0,0,0.255321999,0,0,0,0.286818994,0,0,0.24348028,0.578975036,0,0,0,0,0,0
12.79166667,0,0,0,0,0,0,0,0.376288241,1.237945463,0,0,0.71851233,0.480323126,0,0,0,0,0,0,0,0.639071364,0,0,0,0,0,0,0,0,0,0,0,0.399348766,0.154535188,0,0,0,0,0,0,0,0,0,0,0,0.337036633,0,0,0,0,0,0,0.46946264,0,0,0,0,0,0,0,0,0,0.770761351,0,0,0,0,0,0,0,0,0,0,0.179430503,0.110802859,0,0,0,0,0,0,0
13.12375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62302317,0,1.228848308,0,0,0,0,0.589173284,0,0,0.084488583,0,0,0,0.349154506,0,0,0,0.475283109,0,0,0,0.499460982,0,0.711696937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.572572865,0,0.652422123,0,0.5648383,0,0.071867526,0,0,0,0.382881274,1.596479818,0,0,1.519435274,0,0,0,0,0,0.604163198
13.18133333,0,0,0,0,0,0,0,0,2.455223557,0,0,1.189470438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.724057137,0,0,0.234173985,0,0,0,0,0,0,0.968182929,0,0.926969419,0,0,0.186081566,0,0,0,0,0,0,1.011868574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079461791,0,1.090163024,0,0.646884865,0,0.207101352,0.395922928,0,0,0,0.756894481,0,0,0.665813847
13.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.757836252,0,0,0,0,0,0,0,0.146399334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.26172414,0,0,0,0,0,0,0,0,0.997535598,0,0,0.622785955,0.786311126,1.84777551,0,0,0,0,0,0,1.158584328,0,0,0.098199059,0,0,0.478818913,0,0,0,0.879250001,0,0.315234832,0,0,0,0,0,0,0,0.970489067,1.217596086,1.188856427,0,0,0.435418403,0,0,0.875292363,0,0,0,0,0,0,0,0,0,0,0,0.666312553,1.739789344,1.357871322,1.195913727,1.418313617,0.473015839,0.712706788,0.194849564,0,0,0,0.612491168,1.061381948,0.162254284,0.206008242,1.346904781,0,0,0,2.188612532,0,1.179499411
13.35666667,0,0,0,0,0,0,0,0,0,0,0,1.008681404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.687781396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.260952644
13.388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.830086482,0,0,0,0,0,0,0,0,0,0.523349017,0,0,0,0,0,0,0,0,0,0,0,0,0.489105185,0,0.08517047,0,0,0,0,0,0,0,1.173700614,0,0,0,0,0,0
13.7290678,0.960929795,1.15813367,0,0,0,0,1.961848508,0.70899916,0,1.997652685,1.934836866,0,0.974095702,3.525057676,1.012007471,0.554911222,0.294316814,0.41319961,0,0.430383942,0.978219167,0.49776165,1.566053778,0,0.329491943,1.211650303,0,0,0.180605447,0.610325689,2.105630688,1.610295872,0.805034818,0.2136633,3.08482587,0.901627201,1.263196161,0,0,0,1.507508121,2.162302618,2.143792781,0,1.307416649,0.945949065,0,0,1.196428944,0,0,0.855408016,0.464667586,0.840250055,1.817850421,1.017582496,0.628016167,0,0.350988113,0,0.595004356,1.294304722,1.016441122,1.666457622,2.070803798,1.04085904,0.966134009,0.364621895,2.064092961,0,0.788946851,2.013627592,5.141565795,0.414732125,0.240132717,3.451220102,0.697221273,1.157035171,4.000278866,0,0,0.598644396
13.79738095,0,0,0,0,0,0,4.977585477,0.669293446,0,0,0,0.484301282,4.043193061,0,0,0.767555225,0,0.148213425,0,0,1.20518137,0,5.573249157,0,2.462131526,0,0,0,0.423637697,1.303827923,3.056967076,0,0,0.368761982,26.34832916,1.836490756,0,1.218414642,0,0,1.957087319,1.044314839,1.842365156,0,8.686180672,0.602942967,0,5.872412965,0,0,0,4.235257628,0.267022713,0.677739334,3.956825398,0,1.800424316,0,0,0,0,1.179810649,1.168551895,1.929817711,1.280542342,0,1.298728001,0.308612395,5.53889702,0,0.961016825,0.51158214,0,0.080137214,0.332053168,5.85886464,0,0,3.043273336,1.769729681,0,1.84370973
