Volatile,Av.Abund,Av.Sim,Contrib%,Cum.%
19.40104478,1.69,4.55,10.34,41.39
10.891,1.45,3.21,7.29,48.68
19.52512821,1.3,2.86,6.49,55.17
21.40527778,1.09,2.44,5.55,60.71
21.35028571,0.97,2.21,5.03,65.74
30.79641026,0.95,1.99,4.53,70.26
8.902068966,0.7,1.79,4.07,74.34
22.77,0.57,1.48,3.37,77.71
12.9677027,0.56,1.13,2.57,80.28
10.1842623,0.72,1.1,2.49,82.78
11.6084375,0.38,0.98,2.23,85.01
15.50897436,0.53,0.93,2.12,87.13
19.62022727,0.34,0.75,1.69,88.83
21.12938462,0.44,0.75,1.69,90.52
19.72264368,3.27,8.43,15.95,15.95
26.78810811,2.04,5.45,10.33,26.28
31.4190566,1.97,4.96,9.39,35.66
19.52512821,1.59,4.36,8.25,43.91
38.48852941,1.51,4.31,8.17,52.08
33.6159434,1.53,4.03,7.64,59.72
19.40104478,1.53,3.51,6.65,66.37
21.35028571,1.24,2.81,5.32,71.69
36.07631579,1.31,2.72,5.14,76.83
12.9677027,1.05,2.63,4.98,81.81
21.40527778,1.15,2.62,4.96,86.77
10.1842623,1.03,2.35,4.45,91.22
15.4573494,1.91,3.49,8.75,8.75
33.6159434,1.31,2.89,7.24,15.99
19.72264368,1.46,2.47,6.19,22.18
20.51714286,0.96,2.11,5.28,27.45
16.39651163,1.35,1.92,4.8,32.26
36.07631579,0.98,1.78,4.46,36.72
26.78810811,1.79,1.58,3.95,40.67
21.5754717,0.73,1.5,3.76,44.43
20.36305556,0.6,1.34,3.37,47.8
19.62022727,0.8,1.3,3.26,51.06
12.9677027,0.89,1.22,3.05,54.11
21.70509091,0.63,1.21,3.04,57.15
19.21025,0.64,1.2,3,60.14
19.66487179,0.67,1.07,2.69,62.83
24.42878378,0.49,1,2.51,65.35
19.86129032,0.47,0.86,2.17,67.51
20.80285714,0.49,0.82,2.06,69.57
14.6987037,0.43,0.74,1.86,71.43
20.84142857,0.47,0.73,1.82,73.25
10.1842623,0.73,0.72,1.81,75.06
15.5952,0.5,0.7,1.76,76.83
17.62483871,0.52,0.69,1.72,78.54
15.2085,0.41,0.67,1.67,80.22
16.28636364,0.41,0.65,1.63,81.85
17.39323529,0.48,0.63,1.59,83.44
17.9565,0.41,0.57,1.43,84.87
9.757314815,0.27,0.53,1.32,86.19
19.053,0.4,0.51,1.28,87.47
9.701666667,0.38,0.51,1.27,88.74
15.74189873,0.3,0.47,1.18,89.92
16.71588235,0.28,0.43,1.09,91.01
31.4190566,2.54,5.81,10.78,10.78
19.40104478,2.58,5.13,9.51,20.28
15.4573494,2.08,4.79,8.89,29.17
19.72264368,1.73,4.23,7.84,37.01
16.39651163,1.64,3.89,7.21,44.22
26.78810811,1.56,3.76,6.98,51.2
15.50897436,1.42,3.28,6.08,57.28
12.9677027,1.37,3.01,5.57,62.85
13.79688889,1.2,2.9,5.37,68.22
15.74189873,1.22,2.57,4.76,72.97
19.66487179,0.96,2.16,4,76.98
11.6084375,1.11,2.1,3.89,80.87
20.51714286,0.82,2.01,3.73,84.59
10.1842623,1.19,2.01,3.72,88.32
18.90958333,0.88,1.87,3.47,91.78
19.40104478,3,8.33,13.08,13.08
26.78810811,1.81,4.8,7.54,20.62
8.902068966,1.68,4.52,7.11,27.72
19.72264368,1.64,4.36,6.85,34.57
10.1842623,1.29,3.46,5.44,40.02
19.52512821,1.3,3.23,5.07,45.08
12.9677027,1.18,3.12,4.91,49.99
33.6159434,1.23,3.04,4.77,54.76
30.79641026,1.17,2.98,4.68,59.44
38.48852941,1.18,2.66,4.17,63.62
9.701666667,0.78,2.12,3.33,66.95
21.12938462,0.83,1.84,2.89,69.83
15.50897436,0.64,1.77,2.78,72.62
9.757314815,0.66,1.69,2.65,75.27
21.35028571,0.61,1.58,2.48,77.75
21.40527778,0.62,1.55,2.43,80.18
13.73048387,0.78,1.52,2.39,82.57
16.46627907,0.65,1.51,2.38,84.95
36.07631579,0.67,1.43,2.25,87.2
24.42878378,0.52,1.34,2.11,89.31
14.6987037,0.47,1.22,1.92,91.23
15.4573494,2.66,5.36,9.29,9.29
19.72264368,2.14,3.99,6.91,16.2
19.40104478,1.93,3.49,6.05,22.25
16.39651163,1.96,3.39,5.87,28.12
12.9677027,1.54,2.82,4.88,33
20.80285714,1.06,2.22,3.84,36.84
20.51714286,1.19,2.18,3.77,40.61
10.1842623,1.32,2.08,3.6,44.21
26.78810811,1.29,1.92,3.32,47.53
21.12938462,1,1.88,3.26,50.79
14.6987037,0.83,1.73,2.99,53.79
21.5754717,1.05,1.66,2.87,56.66
15.5952,0.89,1.65,2.87,59.53
19.21025,0.88,1.62,2.8,62.33
19.66487179,0.89,1.58,2.74,65.07
17.39323529,0.82,1.5,2.6,67.67
9.701666667,0.73,1.43,2.48,70.15
19.053,0.67,1.39,2.41,72.57
30.79641026,0.64,1.23,2.14,74.7
9.757314815,0.63,1.23,2.13,76.84
16.28636364,0.67,1.21,2.1,78.94
18.90958333,0.82,1.21,2.1,81.04
11.94558824,0.64,1.06,1.84,82.88
17.9565,0.71,1.06,1.84,84.72
19.62022727,0.62,1.05,1.83,86.55
15.2085,0.67,1.05,1.82,88.37
15.74189873,0.56,1.01,1.76,90.12
19.40104478,2.79,6.18,13.73,13.73
15.4573494,2.15,3.93,8.73,22.46
19.72264368,1.41,2.98,6.61,29.07
26.78810811,1.54,2.94,6.54,35.61
12.9677027,1.29,2.21,4.9,40.51
10.1842623,1.07,2.08,4.61,45.12
16.39651163,1.18,2.06,4.57,49.69
9.757314815,0.98,1.84,4.09,53.78
30.51451613,0.81,1.76,3.9,57.68
8.958333333,1,1.69,3.76,61.44
8.454615385,0.72,1.63,3.62,65.06
21.12938462,0.83,1.45,3.22,68.28
36.07631579,0.8,1.36,3.01,71.29
8.525,0.62,1.35,2.99,74.28
19.66487179,0.52,1.13,2.51,76.79
36.88736842,0.74,1.06,2.36,79.15
19.62022727,0.53,1.03,2.28,81.43
24.42878378,0.63,0.96,2.13,83.56
15.74189873,0.61,0.92,2.05,85.61
20.80285714,0.53,0.9,1.99,87.6
20.51714286,0.54,0.89,1.97,89.57
21.70509091,0.43,0.86,1.91,91.49
19.40104478,2.03,5.94,10.73,10.73
26.78810811,2.28,5.94,10.72,21.46
15.4573494,2.43,5.6,10.11,31.56
33.6159434,2.08,5.49,9.92,41.49
16.39651163,1.76,4.95,8.93,50.42
19.72264368,1.88,4.72,8.53,58.95
38.48852941,1.7,4.58,8.27,67.23
12.9677027,1.83,4.27,7.71,74.94
21.12938462,1.29,3.6,6.5,81.44
24.42878378,1.1,3.1,5.61,87.05
15.74189873,1.05,3,5.41,92.46
15.4573494,2.22,4.98,10.71,10.71
12.9677027,1.87,4.9,10.55,21.25
19.40104478,2.07,4.69,10.09,31.34
31.4190566,2.1,4.5,9.67,41.02
19.72264368,1.77,4.23,9.09,50.11
10.468,1.63,4.07,8.76,58.87
10.1842623,1.58,3.58,7.69,66.56
9.757314815,1.29,3.47,7.46,74.02
16.39651163,1.23,3.29,7.08,81.1
10.891,1.33,2.72,5.85,86.95
17.62483871,0.61,1.71,3.67,90.62
15.4573494,1.94,3.91,7.79,7.79
19.72264368,1.74,3.23,6.44,14.23
33.6159434,1.52,3.1,6.18,20.41
38.48852941,1.42,2.8,5.58,25.99
26.78810811,2.3,2.72,5.41,31.4
8.062727273,1.33,2.24,4.46,35.86
24.42878378,1.17,1.97,3.92,39.78
20.80285714,1.04,1.76,3.51,43.29
19.21025,0.89,1.59,3.17,46.46
20.51714286,0.9,1.55,3.09,49.55
36.8526087,0.87,1.53,3.06,52.61
19.66487179,0.79,1.42,2.83,55.44
22.72692308,0.63,1.25,2.49,57.93
16.28636364,0.63,1.22,2.42,60.35
22.6245,0.63,1.2,2.39,62.74
12.9677027,0.58,1.15,2.29,65.04
