Ind1,Ind2,QG
P3,M5,0.0184
P3,P5,0.0853
P3,M9,0.1807
P3,P9,0.0629
P3,M15,0.2058
P3,P15,0.3304
P3,M19,-0.0040
P3,P19,0.0802
P3,M26,0.1254
P3,P26,0.1043
P3,M27,0.1297
P3,P27,0.1740
P3,M28,0.1289
P3,P28,0.2473
P3,M29,0.1861
P3,P29,0.1915
P3,M37,0.1492
P3,P37,0.1020
P3,M40,0.3694
P3,P40,0.2117
P3,M41,0.1169
P3,P41,0.1095
P3,M43,0.2403
P3,P43,0.0162
P3,M44,0.0315
P3,P44,0.0696
P3,M45,0.1829
P3,P45,0.1107
P3,M46,0.1930
P3,P46,0.2471
P3,M47,0.1980
P3,P47,0.0625
P3,M48,0.1742
P3,P48,0.4589
P3,M6,0.2100
P3,P6,0.0637
P3,M7,0.0642
P3,P7,0.1407
P3,M8,0.2093
P3,P8,0.2944
P3,M10,0.0473
P3,P10,0.1526
P3,M12,0.2094
P3,P12,-0.0476
P3,M14,0.0946
P3,P14,0.0489
P3,M16,0.1284
P3,P16,0.1151
P3,M17,0.0754
P3,P17,0.0798
P3,M18,0.3364
P3,P18,0.0163
P3,M20,0.2354
P3,P20,0.1717
P3,M21,0.0376
P3,P21,0.1195
P3,M23,0.1632
P3,P23,0.1285
P3,M24,0.1249
P3,P24,-0.0253
P3,M25,0.2512
P3,P25,-0.0535
P3,M30,0.1782
P3,P30,0.1913
P3,M31,0.3870
P3,P31,0.2137
P3,M33,0.1369
P3,P33,0.0322
P3,M35,0.1418
P3,P35,0.1213
M4,P4,0.5509
M4,M5,-0.1146
M4,P5,-0.0490
M4,M9,0.0948
M4,P9,0.0289
M4,M15,0.0967
M4,P15,0.2224
M4,M19,0.2127
M4,P19,0.0571
M4,M26,0.2407
M4,P26,0.2681
M4,M27,0.1233
M4,P27,0.0296
M4,M28,0.0670
M4,P28,0.2609
M4,M29,0.1105
M4,P29,-0.0051
M4,M37,0.2092
M4,P37,0.1087
M4,M40,0.0579
M4,P40,0.1531
M4,M41,0.0114
M4,P41,-0.0433
M4,M43,0.1515
M4,P43,0.0360
M4,M44,0.0857
M4,P44,0.2024
M4,M45,0.0574
M4,P45,0.1501
M4,M46,0.1164
M4,P46,0.1644
M4,M47,0.0827
M4,P47,0.0289
M4,M48,0.0699
M4,P48,0.0814
M4,M6,0.1638
M4,P6,0.2458
M4,M7,0.2371
M4,P7,0.1362
M4,M8,0.1389
M4,P8,0.2462
M4,M10,0.1862
M4,P10,0.2814
M4,M12,0.0130
M4,P12,-0.0305
M4,M14,0.2407
M4,P14,0.1266
M4,M16,0.1387
M4,P16,0.2033
M4,M17,0.1427
M4,P17,0.2039
M4,M18,0.0339
M4,P18,0.1103
M4,M20,0.1175
M4,P20,0.1833
M4,M21,0.1579
M4,P21,0.1218
M4,M23,0.1367
M4,P23,0.1409
M4,M24,-0.0019
M4,P24,0.0862
M4,M25,0.2566
M4,P25,0.2686
M4,M30,0.1187
M4,P30,-0.1078
M4,M31,0.1238
M4,P31,-0.0241
M4,M33,0.0408
M4,P33,0.1361
M4,M35,0.0683
M4,P35,0.0722
P4,M5,0.1261
P4,P5,0.0298
P4,M9,0.1022
P4,P9,0.0320
P4,M15,0.0940
P4,P15,0.2188
P4,M19,0.2226
